Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2079223,GSE70245,SAMN03792368,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079224,GSE70245,SAMN03792369,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079225,GSE70245,SAMN03792370,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079226,GSE70245,SAMN03792371,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079227,GSE70245,SAMN03792372,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079228,GSE70245,SAMN03792373,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079229,GSE70245,SAMN03792374,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079230,GSE70245,SAMN03792375,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079231,GSE70245,SAMN03792376,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079232,GSE70245,SAMN03792377,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079233,GSE70245,SAMN03792378,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079234,GSE70245,SAMN03792379,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079235,GSE70245,SAMN03792380,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079236,GSE70245,SAMN03792381,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079237,GSE70245,SAMN03792382,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079238,GSE70245,SAMN03792383,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079239,GSE70245,SAMN03792384,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079240,GSE70245,SAMN03792385,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079241,GSE70245,SAMN03792386,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079242,GSE70245,SAMN03792387,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079243,GSE70245,SAMN03792388,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079244,GSE70245,SAMN03792389,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079247,GSE70245,SAMN03792692,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079248,GSE70245,SAMN03792701,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079249,GSE70245,SAMN03792693,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079250,GSE70245,SAMN03792694,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079251,GSE70245,SAMN03792695,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079252,GSE70245,SAMN03792696,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079253,GSE70245,SAMN03792697,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079254,GSE70245,SAMN03792698,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079255,GSE70245,SAMN03792699,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079256,GSE70245,SAMN03792700,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079257,GSE70245,SAMN03792709,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079258,GSE70245,SAMN03792710,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079259,GSE70245,SAMN03792711,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079260,GSE70245,SAMN03792708,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079261,GSE70245,SAMN03792702,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079262,GSE70245,SAMN03792703,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079263,GSE70245,SAMN03792704,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079264,GSE70245,SAMN03792705,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079265,GSE70245,SAMN03792706,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079266,GSE70245,SAMN03792707,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079267,GSE70245,SAMN03792712,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079268,GSE70245,SAMN03792713,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079269,GSE70245,SAMN03792714,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079270,GSE70245,SAMN03792715,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079271,GSE70245,SAMN03792716,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079272,GSE70245,SAMN03792717,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079273,GSE70245,SAMN03792718,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079274,GSE70245,SAMN03792719,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079275,GSE70245,SAMN03792720,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079276,GSE70245,SAMN03792721,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079277,GSE70245,SAMN03792722,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079278,GSE70245,SAMN03792723,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079279,GSE70245,SAMN03792754,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079280,GSE70245,SAMN03792755,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079281,GSE70245,SAMN03792756,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079282,GSE70245,SAMN03792757,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079283,GSE70245,SAMN03792758,"Mus musculus","Bone marrow",Adult,"Irf8-GFP dim Csf1r- GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR3203937,GSE70245,SAMN04532110,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203938,GSE70245,SAMN04532111,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203939,GSE70245,SAMN04532112,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203940,GSE70245,SAMN04532113,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203941,GSE70245,SAMN04532114,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203942,GSE70245,SAMN04532115,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203943,GSE70245,SAMN04532116,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203944,GSE70245,SAMN04532117,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203945,GSE70245,SAMN04532118,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203946,GSE70245,SAMN04532119,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203947,GSE70245,SAMN04532120,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203948,GSE70245,SAMN04532121,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203949,GSE70245,SAMN04532122,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203950,GSE70245,SAMN04532123,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203951,GSE70245,SAMN04532124,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203952,GSE70245,SAMN04532125,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203953,GSE70245,SAMN04532126,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203954,GSE70245,SAMN04532127,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203955,GSE70245,SAMN04532073,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203956,GSE70245,SAMN04532074,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203957,GSE70245,SAMN04532075,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203958,GSE70245,SAMN04532076,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203959,GSE70245,SAMN04532077,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203960,GSE70245,SAMN04532078,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203961,GSE70245,SAMN04532079,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR3203962,GSE70245,SAMN04532080,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203963,GSE70245,SAMN04532081,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR3203964,GSE70245,SAMN04532082,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203965,GSE70245,SAMN04532083,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR3203966,GSE70245,SAMN04532084,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203967,GSE70245,SAMN04532085,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203968,GSE70245,SAMN04532086,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR3203969,GSE70245,SAMN04532087,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203970,GSE70245,SAMN04532088,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203971,GSE70245,SAMN04532089,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203972,GSE70245,SAMN04532090,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203973,GSE70245,SAMN04532091,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203974,GSE70245,SAMN04532092,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203975,GSE70245,SAMN04532093,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203976,GSE70245,SAMN04532094,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203977,GSE70245,SAMN04532095,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203978,GSE70245,SAMN04532096,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203979,GSE70245,SAMN04532097,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203980,GSE70245,SAMN04532098,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR3203981,GSE70245,SAMN04532099,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR3203982,GSE70245,SAMN04532100,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR3203983,GSE70245,SAMN04532101,"Mus musculus","Bone marrow",Adult,"GMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
