Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2079142,GSE70245,SAMN03792317,"Mus musculus","Bone marrow",Adult,"Granulocyte Macrophage Progenitor (GMP)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079143,GSE70245,SAMN03792318,"Mus musculus","Bone marrow",Adult,"Granulocyte Macrophage Progenitor (GMP)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079144,GSE70245,SAMN03792319,"Mus musculus","Bone marrow",Adult,"Lineage-negative Sca1-positive c-Kit-positive (LSK)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0001008 [Kit and Sca1-positive hematopoietic stem cell]",M.G1
SRR2079145,GSE70245,SAMN03792320,"Mus musculus","Bone marrow",Adult,"Common Myeloid Progenitor (CMP)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000049 [Common myeloid progenitor]",M.G1
SRR2079146,GSE70245,SAMN03792321,"Mus musculus","Bone marrow",Adult,"Granulocyte Macrophage Progenitor (GMP)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079147,GSE70245,SAMN03792322,"Mus musculus","Bone marrow",Adult,"Granulocyte Macrophage Progenitor (GMP)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079148,GSE70245,SAMN03792323,"Mus musculus","Bone marrow",Adult,"Granulocyte Macrophage Progenitor (GMP)","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079149,GSE70245,SAMN03792324,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079150,GSE70245,SAMN03792325,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079151,GSE70245,SAMN03792326,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079152,GSE70245,SAMN03792327,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079153,GSE70245,SAMN03792328,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079154,GSE70245,SAMN03792329,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
